anyy;mes;dia;obser;ventkh;component;plujamm;tmax;tmin;tmitjana
2018;8;10;"BCN";70;"SO";3;27.18;16.5;5.34
2003;1;19;"TARRACO";107;"NE";10;16.16;-1.52;8.84
2011;12;8;"LLEIDA";162;"NO";6;33.35;14.9;9.23
1997;10;5;"VIC";174;"E";8;38.17;19.24;9.47
1953;4;18;"TARRACO";157;"E";6;17.5;11.08;3.21
1993;8;7;"TARRACO";72;"SE";1;29.6;-5.85;17.73
1959;8;6;"GIRONA";159;"N";10;31.36;-7.48;19.42
1981;7;15;"MASNOU";63;"SE";9;1.71;-0.14;0.93
1981;4;24;"VIC";30;"SE";9;21.4;2.91;9.24
1983;6;20;"HOSPI";187;"E";9;37.67;-5.27;21.47
2000;2;25;"BCN";22;"SE";3;38.97;-3.02;21.0
1952;9;5;"BCN";197;"SE";3;42.73;5.42;18.65
1997;4;1;"BERGA";78;"NE";4;24.56;19.69;2.43
1977;5;14;"MASNOU";90;"N";2;9.84;-2.6;6.22
1977;6;4;"HOSPI";132;"E";3;20.87;-3.39;12.13
1983;1;28;"HOSPI";135;"N";1;27.61;-1.75;14.68
1953;12;29;"STACOL";184;"O";8;12.7;9.72;1.49
1998;10;24;"LLEIDA";41;"S";10;39.91;-5.2;22.55
2010;7;18;"TIBIDABO";158;"O";0;36.17;-2.67;19.42
2003;9;8;"BERGA";52;"NE";8;42.1;-3.62;22.86
1980;9;22;"BERGA";48;"S";5;41.53;-1.1;21.32
1950;6;29;"STACOL";88;"NE";2;27.61;3.53;12.04
2013;4;4;"MASNOU";81;"SO";6;21.27;-7.84;14.55
1970;3;10;"STACOL";5;"N";4;42.42;-2.76;22.59
2018;12;4;"TIBIDABO";122;"SE";8;37.98;15.96;11.01
2008;5;24;"BCN";58;"NO";5;33.53;2.64;15.45
1957;7;7;"GIRONA";92;"NE";9;19.97;7.88;6.04
1999;9;5;"MASNOU";63;"O";5;41.72;6.1;17.81
1986;10;30;"LLEIDA";156;"E";7;28.48;0.25;14.12
1980;10;25;"BERGA";61;"E";1;42.14;8.34;16.9
1980;2;7;"HOSPI";196;"E";5;40.17;1.09;19.54
1989;7;8;"BERGA";128;"SO";5;38.98;14.4;12.29
1973;4;5;"TARRACO";88;"O";2;35.42;13.47;10.98
2010;2;9;"GIRONA";22;"N";5;25.33;1.05;12.14
1969;10;1;"VIC";190;"NO";0;39.42;11.8;13.81
1966;7;4;"BCN";166;"NE";8;32.87;16.24;8.31
1952;2;20;"GIRONA";138;"E";9;20.97;9.31;5.83
1952;8;19;"STACOL";6;"SE";0;23.14;-4.01;13.57
1995;10;16;"STACOL";16;"NE";5;41.55;-4.78;23.16
2004;10;15;"GIRONA";30;"O";6;15.8;0.23;7.79
2015;1;20;"TARRACO";130;"SE";3;31.2;11.37;9.91
1958;7;1;"MASNOU";58;"S";0;32.84;-2.48;17.66
1992;12;9;"GIRONA";195;"SO";8;13.72;0.89;6.42
1985;8;6;"BCN";146;"O";4;44.78;-3.39;24.09
2017;9;15;"HOSPI";165;"NO";0;7.54;4.62;1.46
1996;8;1;"VIC";120;"NO";8;8.97;1.05;3.96
2010;4;1;"LLEIDA";81;"N";3;43.43;13.23;15.1
2007;10;14;"TIBIDABO";153;"E";9;18.92;12.62;3.15
1972;9;5;"VIC";89;"NE";10;27.49;12.15;7.67
1950;12;27;"VIC";198;"NE";8;30.1;16.28;6.91
1994;2;17;"BERGA";58;"O";7;22.34;12.24;5.05
1956;4;29;"HOSPI";159;"SE";7;36.96;15.39;10.79
1959;2;15;"BCN";109;"N";6;7.94;-5.9;6.92
1983;7;2;"LLEIDA";44;"O";7;24.99;1.61;11.69
1983;11;28;"HOSPI";148;"SO";3;20.4;4.39;8.0
1953;6;20;"BERGA";141;"NO";7;37.13;16.42;10.36
1973;7;17;"MASNOU";105;"S";6;11.41;10.38;0.51
2001;6;1;"BCN";24;"O";2;36.88;18.66;9.11
2011;8;5;"STACOL";83;"NO";2;20.03;9.29;5.37
1964;1;23;"TIBIDABO";62;"SE";1;27.74;4.15;11.79
1952;9;14;"TARRACO";4;"O";2;33.85;8.16;12.85
1983;3;2;"STACOL";109;"SO";6;3.0;0.02;1.49
1958;10;19;"VIC";166;"O";9;33.82;7.89;12.96
1978;3;1;"VIC";115;"S";2;24.48;0.43;12.03
1957;6;6;"GIRONA";195;"N";6;21.33;13.85;3.74
2011;7;1;"TARRACO";158;"S";1;9.61;6.12;1.74
1997;3;25;"GIRONA";28;"S";6;25.59;19.5;3.04
2012;1;23;"VIC";75;"O";10;21.21;-5.82;13.52
1955;12;5;"STACOL";105;"N";4;31.24;3.15;14.04
2003;11;27;"LLEIDA";80;"O";3;13.82;-8.39;11.11
2005;8;7;"BERGA";113;"NE";4;26.59;4.2;11.2
1995;1;9;"LLEIDA";56;"E";0;1.31;-1.63;1.47
2000;7;24;"VIC";55;"NO";0;-2.06;-4.62;1.28
1969;8;14;"MASNOU";141;"NO";3;20.31;9.49;5.41
1998;9;15;"LLEIDA";16;"S";2;22.95;10.39;6.28
1959;2;18;"BERGA";54;"NO";2;33.35;11.72;10.82
1992;9;13;"TARRACO";36;"S";4;22.05;11.46;5.29
1962;11;10;"STACOL";89;"NE";10;11.71;1.92;4.9
1984;12;3;"BERGA";118;"S";7;16.29;13.52;1.38
1996;9;6;"BERGA";110;"O";6;16.74;3.07;6.83
1981;2;24;"BCN";147;"NE";7;33.3;3.28;15.01
2007;8;14;"BCN";26;"E";3;30.84;7.04;11.9
2004;10;11;"GIRONA";59;"SO";5;-2.19;-7.35;2.58
2004;10;21;"BCN";121;"E";4;31.55;15.07;8.24
1958;4;26;"VIC";133;"O";7;37.72;15.99;10.86
1976;6;16;"GIRONA";39;"N";0;28.52;17.67;5.42
1983;6;3;"HOSPI";34;"E";10;43.32;-7.16;25.24
1951;7;7;"LLEIDA";170;"O";8;42.05;7.89;17.08
2000;7;29;"HOSPI";153;"O";5;35.25;0.64;17.3
1978;6;21;"BERGA";197;"N";2;44.31;15.64;14.34
1959;7;2;"TIBIDABO";163;"E";5;44.47;10.28;17.09
1971;8;17;"BCN";156;"SE";9;13.05;0.77;6.14
1984;11;13;"BERGA";164;"SO";1;31.85;11.03;10.41
1996;5;10;"BERGA";184;"N";5;30.62;7.7;11.46
1963;11;20;"TARRACO";103;"SO";6;13.74;6.9;3.42
1990;11;30;"STACOL";16;"S";10;4.11;2.64;0.74
2002;7;29;"TARRACO";104;"SO";6;34.13;2.29;15.92
1980;3;16;"MASNOU";1;"N";2;4.76;-3.68;4.22
1952;7;24;"STACOL";159;"N";2;1.9;-9.14;5.52
2015;6;25;"BCN";136;"N";7;42.29;17.08;12.61
1989;4;26;"VIC";42;"E";7;12.71;8.76;1.98
1963;7;15;"HOSPI";138;"N";2;28.67;7.89;10.39
1954;8;6;"BCN";134;"SO";1;36.33;14.56;10.88
1957;1;20;"STACOL";154;"NE";1;18.74;-8.54;13.64
1984;10;22;"TIBIDABO";192;"NO";7;22.3;18.1;2.1
1989;8;8;"LLEIDA";93;"NO";7;6.05;2.03;2.01
1959;10;17;"MASNOU";57;"NE";7;29.46;16.42;6.52
1973;5;29;"VIC";174;"N";6;43.95;-4.88;24.42
1955;10;4;"TARRACO";184;"SO";4;34.12;11.07;11.52
2015;3;24;"STACOL";16;"SE";4;22.73;16.6;3.06
1995;6;16;"STACOL";122;"SE";10;14.44;5.1;4.67
2003;2;29;"BCN";153;"SO";0;43.58;11.6;15.99
2018;10;10;"TIBIDABO";38;"S";9;28.05;11.93;8.06
2013;10;14;"HOSPI";170;"NO";2;37.94;0.85;18.54
1987;6;14;"STACOL";7;"SE";2;4.8;-0.97;2.88
2000;5;19;"BCN";161;"S";5;31.37;16.9;7.24
1952;7;29;"MASNOU";192;"O";7;27.61;19.21;4.2
1951;1;1;"GIRONA";150;"SE";3;14.05;10.96;1.54
1954;7;25;"MASNOU";45;"N";8;21.32;-9.04;15.18
1951;1;10;"MASNOU";14;"NO";9;18.83;5.91;6.46
1956;9;13;"STACOL";83;"SO";6;25.25;16.78;4.23
1982;4;17;"BCN";162;"S";9;10.05;8.04;1.01
1954;12;18;"VIC";181;"SE";1;9.57;6.63;1.47
2016;7;21;"VIC";55;"N";1;12.75;9.04;1.86
1989;6;27;"TARRACO";145;"NE";10;30.01;-8.15;19.08
1982;11;22;"GIRONA";89;"SO";2;43.78;-6.3;25.04
1979;8;6;"BERGA";27;"O";9;43.63;14.93;14.35
1998;4;25;"BCN";27;"E";7;33.09;-1.4;17.25
2004;12;5;"HOSPI";167;"S";8;43.04;1.82;20.61
1983;4;12;"TARRACO";16;"N";4;38.34;-8.37;23.36
1954;2;10;"TARRACO";42;"SE";8;30.11;15.28;7.42
1979;3;26;"VIC";40;"NO";10;28.04;7.96;10.04
2008;2;26;"TIBIDABO";118;"E";0;17.2;-1.57;9.38
2015;3;21;"TARRACO";12;"SE";9;29.82;3.12;13.35
1968;10;17;"TARRACO";30;"E";5;19.73;3.19;8.27
1967;3;25;"STACOL";32;"S";1;23.15;1.16;10.99
1964;2;25;"BCN";19;"SE";8;41.14;0.9;20.12
2014;10;12;"HOSPI";11;"S";3;27.27;-5.13;16.2
2006;5;3;"TIBIDABO";37;"S";3;27.14;15.43;5.86
1998;2;25;"GIRONA";140;"NE";7;19.28;-7.08;13.18
2017;4;22;"BERGA";83;"E";4;11.5;-0.81;6.16
1993;3;6;"HOSPI";26;"N";1;20.49;7.95;6.27
1982;11;21;"LLEIDA";69;"SE";6;30.94;2.18;14.38
1977;12;26;"LLEIDA";162;"S";9;41.15;-3.28;22.21
2013;3;18;"GIRONA";137;"E";10;36.99;15.4;10.8
2015;3;25;"TIBIDABO";175;"NO";5;31.32;1.25;15.04
1972;8;15;"BERGA";166;"N";5;7.49;-2.92;5.21
1978;10;3;"MASNOU";141;"SE";3;23.48;-2.47;12.97
2001;9;26;"STACOL";173;"SE";2;30.24;1.47;14.38
1964;4;26;"STACOL";147;"O";1;35.59;13.71;10.94
1998;8;30;"TARRACO";27;"S";3;41.32;-0.39;20.86
2002;4;25;"TARRACO";168;"S";2;43.64;-5.02;24.33
1998;9;22;"BCN";63;"N";10;17.51;10.07;3.72
1952;12;1;"BCN";174;"S";9;10.52;6.88;1.82
1960;7;20;"TIBIDABO";115;"O";0;44.98;-7.71;26.34
1961;4;9;"TARRACO";13;"SO";9;28.3;10.33;8.98
1988;6;21;"VIC";171;"S";4;44.65;10.72;16.96
2007;8;15;"MASNOU";141;"N";0;39.68;11.68;14.0
1957;9;15;"BERGA";108;"E";0;20.1;-5.74;12.92
1967;10;28;"TARRACO";105;"O";0;26.22;-4.82;15.52
1985;10;12;"MASNOU";153;"SE";0;0.18;-1.93;1.05
1958;5;24;"BCN";55;"S";7;25.12;14.89;5.12
1969;2;15;"BCN";12;"NO";6;39.61;19.75;9.93
1969;9;15;"TARRACO";52;"E";8;37.12;11.49;12.81
1984;1;25;"BCN";11;"SE";6;41.1;19.11;11.0
1979;3;3;"TIBIDABO";198;"SO";0;28.69;-2.49;15.59
1962;9;7;"MASNOU";141;"O";5;41.03;19.92;10.55
1970;5;2;"HOSPI";75;"NE";0;27.69;1.41;13.14
1960;10;1;"GIRONA";15;"SE";3;36.85;-0.37;18.61
2017;1;6;"HOSPI";103;"NO";3;43.35;10.22;16.57
1975;12;16;"TARRACO";155;"NO";1;15.11;3.12;5.99
1981;8;13;"TIBIDABO";176;"SE";2;12.53;10.63;0.95
1958;11;22;"GIRONA";173;"E";2;23.72;12.17;5.77
1965;5;30;"TIBIDABO";31;"SO";10;35.4;3.53;15.93
2005;2;7;"HOSPI";16;"NO";9;42.18;13.31;14.43
1975;8;28;"TIBIDABO";146;"SE";10;10.79;3.01;3.89
1958;7;22;"STACOL";171;"NO";0;29.27;-8.27;18.77
2001;7;16;"VIC";123;"E";0;37.58;-2.1;19.84
1978;8;27;"LLEIDA";40;"NE";9;35.01;4.24;15.38
2005;7;9;"BCN";101;"NO";4;17.14;-6.5;11.82
1959;2;10;"HOSPI";24;"SO";8;18.82;-2.57;10.7
1969;7;16;"VIC";30;"O";4;23.88;18.9;2.49
1999;8;23;"BERGA";153;"SO";2;36.25;-7.06;21.66
1970;12;6;"BCN";18;"S";3;6.74;-0.37;3.56
1992;10;30;"LLEIDA";135;"S";7;28.93;15.42;6.75
1973;4;3;"STACOL";68;"N";2;38.24;-7.21;22.73
1959;1;13;"TARRACO";187;"NO";6;22.1;-7.15;14.62
1969;6;10;"MASNOU";51;"S";8;44.76;16.43;14.16
1964;8;26;"GIRONA";11;"NO";1;1.38;-6.49;3.94
2004;6;1;"BERGA";108;"NO";9;29.74;-2.22;15.98
2012;10;16;"LLEIDA";50;"O";9;22.74;7.94;7.4
2006;6;19;"HOSPI";5;"SO";0;28.81;17.69;5.56
1969;6;5;"BERGA";17;"O";5;26.84;5.33;10.75
1950;12;26;"VIC";15;"NE";10;16.42;-1.74;9.08
1989;7;6;"BCN";31;"E";5;31.98;13.76;9.11
2007;5;12;"GIRONA";129;"N";1;11.78;4.75;3.51
1976;5;23;"HOSPI";181;"SE";10;19.05;4.82;7.12
1954;8;4;"TARRACO";167;"NE";0;33.45;-9.81;21.63
1950;4;6;"HOSPI";192;"NE";7;23.98;5.97;9.01
2005;8;28;"BCN";189;"SO";6;16.26;15.48;0.39
1984;1;15;"HOSPI";138;"O";6;9.66;3.14;3.26
1951;4;6;"VIC";125;"N";8;24.8;10.22;7.29
1952;12;8;"BERGA";108;"O";8;40.54;17.32;11.61
1959;12;5;"TARRACO";195;"NE";8;18.34;12.46;2.94
1997;4;3;"TARRACO";22;"O";1;41.44;18.1;11.67
2012;8;11;"BCN";168;"NO";9;42.15;-2.95;22.55
2008;8;16;"MASNOU";18;"S";6;34.27;-3.0;18.64
2006;6;21;"VIC";104;"O";7;36.22;5.39;15.41
1981;12;28;"MASNOU";70;"NE";8;11.5;10.07;0.71
1980;1;15;"MASNOU";107;"NE";3;34.75;-6.67;20.71
1950;9;4;"TIBIDABO";48;"S";4;9.53;5.99;1.77
1977;11;11;"MASNOU";146;"O";8;7.73;-3.86;5.79
1972;7;29;"TARRACO";17;"NO";3;-1.82;-8.24;3.21
1955;4;22;"BERGA";2;"O";6;32.02;8.31;11.86
2003;6;19;"BERGA";132;"S";10;16.92;8.4;4.26
1959;8;29;"BERGA";77;"SO";5;22.55;13.32;4.62
1983;7;13;"TIBIDABO";55;"SO";2;10.31;-6.92;8.62
2000;4;8;"STACOL";37;"S";8;13.21;5.66;3.78
1991;1;15;"MASNOU";56;"O";9;44.86;19.95;12.46
1995;8;1;"BCN";163;"NE";8;8.89;7.32;0.79
2017;9;3;"BCN";81;"NO";1;14.79;8.59;3.1
1961;10;10;"BERGA";98;"N";1;18.2;-5.56;11.88
2000;10;18;"TIBIDABO";64;"N";2;9.5;6.07;1.71
1950;6;13;"LLEIDA";185;"NE";2;23.96;14.85;4.56
1958;1;14;"LLEIDA";74;"N";3;44.6;14.36;15.12
1995;3;12;"TIBIDABO";51;"N";4;22.41;-1.67;12.04
2014;8;27;"STACOL";53;"N";10;40.6;-8.01;24.3
1987;6;5;"STACOL";150;"SE";4;3.95;-4.12;4.04
1987;11;10;"VIC";196;"SO";8;35.48;2.95;16.26
1965;1;16;"GIRONA";193;"SE";1;23.35;13.38;4.99
1986;10;20;"TARRACO";119;"O";1;28.99;14.43;7.28
1971;11;8;"BCN";120;"NO";1;33.94;-5.22;19.58
1953;5;14;"STACOL";174;"SE";10;20.85;-6.43;13.64
1999;5;15;"VIC";163;"NO";1;18.51;4.2;7.16
1956;8;29;"BCN";129;"N";9;44.52;-4.03;24.28
2016;11;22;"MASNOU";21;"S";7;42.8;-2.85;22.82
1952;9;20;"HOSPI";56;"N";4;37.74;6.24;15.75
1988;6;8;"HOSPI";120;"N";2;29.45;13.58;7.93
1950;10;2;"STACOL";89;"E";3;15.3;11.05;2.12
1975;12;27;"VIC";161;"S";9;44.93;9.91;17.51
1989;6;30;"LLEIDA";166;"O";1;44.96;8.95;18.01
1991;7;18;"MASNOU";118;"NE";8;29.0;11.01;9.0
2016;2;5;"VIC";188;"N";8;28.93;-4.85;16.89
1998;11;5;"LLEIDA";64;"NO";8;18.09;17.89;0.1
1955;10;20;"LLEIDA";150;"E";8;14.62;10.78;1.92
1988;2;24;"GIRONA";109;"NO";6;28.35;16.13;6.11
1978;7;11;"BCN";170;"N";4;32.14;17.94;7.1
2014;5;5;"LLEIDA";200;"NO";10;44.35;18.56;12.9
1952;11;5;"TIBIDABO";171;"O";8;21.51;7.09;7.21
2001;4;16;"BERGA";41;"SE";5;14.49;-7.68;11.09
2013;8;27;"BERGA";60;"S";10;18.68;17.16;0.76
2001;6;28;"MASNOU";0;"E";5;19.55;11.91;3.82
2005;10;9;"LLEIDA";10;"NE";8;22.86;12.82;5.02
1985;3;16;"HOSPI";141;"NO";0;23.44;16.0;3.72
2007;2;24;"VIC";0;"E";2;17.4;13.77;1.81
2003;9;19;"VIC";89;"E";6;36.44;12.2;12.12
1956;9;5;"STACOL";131;"E";3;14.96;-6.01;10.48
1961;4;21;"MASNOU";100;"S";10;10.63;2.57;4.03
1981;2;23;"STACOL";187;"NO";5;39.9;3.8;18.05
2012;11;23;"BERGA";197;"E";0;44.07;3.39;20.34
1995;8;3;"TARRACO";1;"O";1;41.12;17.85;11.63
2008;10;22;"MASNOU";67;"O";8;5.73;5.25;0.24
1979;9;15;"TIBIDABO";107;"NE";5;9.98;7.74;1.12
1963;3;17;"BCN";164;"N";0;29.82;-0.55;15.19
2016;3;16;"LLEIDA";167;"NO";2;23.92;-3.71;13.82
1996;6;5;"GIRONA";43;"NO";5;32.51;-2.53;17.52
1990;3;18;"VIC";38;"E";7;-3.0;-7.95;2.48
1977;1;27;"STACOL";138;"N";7;24.2;6.7;8.75
2005;1;1;"TIBIDABO";164;"NE";2;32.26;7.84;12.21
1989;10;9;"BERGA";40;"SO";2;42.29;-9.66;25.98
1960;11;7;"STACOL";100;"S";6;36.68;17.66;9.51
1965;10;12;"TIBIDABO";39;"SE";1;18.91;15.28;1.82
2007;11;1;"MASNOU";32;"S";6;20.48;18.36;1.06
1986;12;9;"STACOL";156;"SE";8;34.85;0.97;16.94
1973;3;19;"STACOL";29;"E";1;4.04;-1.91;2.98
1969;1;26;"STACOL";198;"O";9;18.49;16.38;1.05
1975;11;28;"STACOL";76;"N";2;33.6;6.52;13.54
1959;4;26;"BCN";129;"E";9;31.01;9.69;10.66
1990;6;4;"STACOL";113;"N";5;44.79;-4.08;24.43
1964;2;15;"VIC";161;"SO";7;27.83;19.59;4.12
1968;7;2;"BERGA";64;"SE";4;36.83;-7.22;22.02
1983;4;9;"STACOL";91;"SE";0;21.93;4.87;8.53
1979;6;24;"MASNOU";35;"O";3;10.82;10.3;0.26
2007;7;9;"TARRACO";177;"E";8;8.44;-3.47;5.96
1984;11;19;"GIRONA";0;"E";1;43.84;-6.69;25.27
1968;5;26;"STACOL";128;"E";7;9.04;-8.04;8.54
2003;8;5;"LLEIDA";38;"S";6;15.0;7.09;3.96
2005;9;15;"TARRACO";101;"E";10;32.26;19.03;6.61
1998;1;1;"TARRACO";134;"SE";9;36.26;2.92;16.67
1950;2;22;"BERGA";106;"SO";6;43.87;-1.86;22.86
2002;1;17;"BCN";95;"NE";3;27.08;3.03;12.02
1997;11;15;"BCN";14;"N";2;23.6;11.53;6.04
1992;11;27;"MASNOU";171;"SO";0;19.23;7.44;5.89
1976;12;16;"LLEIDA";137;"NO";1;18.52;2.9;7.81
1981;5;24;"BCN";11;"S";0;29.75;13.69;8.03
1982;1;30;"VIC";121;"NO";2;30.73;15.61;7.56
1955;9;25;"HOSPI";124;"SE";4;18.31;14.8;1.75
1960;11;25;"STACOL";38;"SO";2;22.05;0.33;10.86
2013;10;20;"TARRACO";95;"S";7;17.03;11.79;2.62
2007;11;28;"VIC";165;"O";9;28.08;0.66;13.71
1979;3;28;"STACOL";177;"N";5;33.59;13.16;10.22
2000;5;25;"TIBIDABO";85;"E";6;20.1;5.7;7.2
2010;3;2;"BCN";111;"SO";10;17.38;0.68;8.35
2008;11;21;"MASNOU";102;"SE";6;10.85;-6.8;8.82
1973;1;3;"BCN";108;"SO";10;31.67;18.06;6.81
1953;10;6;"VIC";44;"S";4;24.62;2.23;11.2
1967;9;23;"GIRONA";68;"NE";0;44.03;10.17;16.93
1991;12;21;"MASNOU";126;"S";4;25.25;16.74;4.26
1950;6;10;"BCN";168;"O";6;25.84;17.98;3.93
1987;3;28;"MASNOU";26;"S";8;33.46;-0.71;17.09
1963;7;14;"TIBIDABO";122;"N";10;23.81;12.38;5.71
1979;3;16;"MASNOU";17;"NE";8;42.31;-7.41;24.86
1961;7;28;"BCN";116;"NE";5;42.12;0.35;20.88
1963;1;23;"MASNOU";25;"N";1;37.57;-2.07;19.82
1977;10;29;"TARRACO";42;"N";2;15.6;-9.06;12.33
1990;4;3;"TARRACO";64;"SE";10;35.16;-7.46;21.31
2009;7;12;"TARRACO";21;"E";7;28.67;18.28;5.2
2000;4;18;"STACOL";147;"NO";1;32.26;-4.91;18.59
1950;11;21;"GIRONA";5;"N";7;25.75;-2.92;14.34
1968;3;25;"LLEIDA";177;"SO";3;29.75;-0.72;15.23
2009;7;9;"MASNOU";9;"SE";4;35.53;-7.24;21.39
1976;2;27;"TIBIDABO";32;"NO";5;0.87;-0.64;0.76
1955;8;16;"VIC";157;"SE";2;38.4;-3.98;21.19
1994;1;7;"TIBIDABO";43;"SE";4;14.89;1.56;6.67
2002;8;23;"TIBIDABO";130;"S";6;39.96;19.49;10.24
2003;9;3;"TARRACO";113;"NE";4;34.81;14.42;10.2
1991;6;29;"VIC";56;"O";4;14.75;8.28;3.24
1959;8;16;"BCN";111;"NO";1;26.83;1.06;12.88
2013;7;6;"GIRONA";10;"NE";7;30.33;7.89;11.22
1958;10;26;"LLEIDA";75;"O";8;20.87;-4.42;12.64
1975;2;24;"STACOL";117;"S";9;29.04;2.94;13.05
2009;3;27;"TARRACO";96;"SO";2;8.66;0.29;4.19
2009;6;8;"VIC";45;"O";4;18.33;-8.33;13.33
1981;9;21;"MASNOU";54;"SO";3;34.04;-1.63;17.84
2006;6;16;"GIRONA";22;"SE";10;39.33;8.59;15.37
2018;2;11;"BERGA";48;"S";5;36.11;11.02;12.54
1965;2;6;"VIC";3;"NO";7;40.09;6.54;16.78
2014;1;18;"MASNOU";153;"S";2;24.23;12.87;5.68
1972;9;3;"BERGA";34;"NE";9;-1.71;-6.69;2.49
1956;4;5;"STACOL";39;"O";3;20.47;19.33;0.57
1974;5;11;"TARRACO";142;"SE";9;32.04;17.93;7.05
1952;11;30;"BERGA";195;"E";6;42.46;-0.6;21.53
1995;8;14;"VIC";49;"S";6;35.86;-7.9;21.88
1956;9;9;"VIC";56;"S";3;25.36;-4.69;15.03
1989;7;5;"BCN";179;"SE";7;27.52;-7.42;17.47
1956;4;9;"GIRONA";155;"S";4;19.47;17.81;0.83
1976;12;21;"BCN";18;"SE";5;2.75;1.39;0.68
1987;1;14;"VIC";165;"NO";0;26.47;18.01;4.23
1958;9;14;"TARRACO";139;"N";4;43.07;7.49;17.79
2010;2;26;"GIRONA";96;"SO";4;36.36;-2.96;19.66
1980;2;18;"LLEIDA";31;"S";8;22.93;17.65;2.64
1969;3;29;"TIBIDABO";130;"SE";6;-0.32;-1.97;0.82
1989;6;10;"TIBIDABO";102;"O";2;3.9;-1.13;2.51
1972;8;16;"GIRONA";117;"SO";0;36.75;-7.75;22.25
1971;9;15;"BCN";174;"NO";2;39.26;5.77;16.74
1959;2;5;"GIRONA";200;"N";6;9.5;1.9;3.8
2017;7;28;"BERGA";185;"N";7;6.89;-4.16;5.53
2000;7;3;"HOSPI";5;"SO";4;19.97;19.89;0.04
1959;3;18;"BERGA";173;"N";10;3.74;0.16;1.79
1997;10;25;"TARRACO";97;"O";3;20.22;6.73;6.74
2010;7;26;"BCN";40;"N";6;33.13;18.1;7.52
2016;7;9;"HOSPI";28;"E";6;44.8;0.9;21.95
1954;12;21;"LLEIDA";8;"SE";0;38.7;1.25;18.73
2009;5;6;"GIRONA";189;"S";5;33.42;4.05;14.69
1988;11;12;"STACOL";88;"O";2;9.12;1.49;3.81
2016;1;13;"BERGA";158;"NE";0;14.12;-1.59;7.85
2016;3;1;"GIRONA";110;"O";4;38.83;1.63;18.6
1991;10;28;"BCN";45;"E";9;23.83;19.39;2.22
1999;12;2;"VIC";18;"NE";10;43.23;12.42;15.4
1991;9;28;"BCN";135;"SE";8;32.12;-1.17;16.64
1951;4;5;"HOSPI";15;"S";0;26.84;19.0;3.92
1995;6;14;"VIC";17;"NO";4;25.96;8.83;8.57
2014;5;24;"BERGA";12;"SO";5;23.32;-0.57;11.95
1985;1;7;"TIBIDABO";58;"SE";3;37.56;-5.21;21.39
1983;2;14;"HOSPI";32;"SO";10;41.21;11.03;15.09
2016;6;16;"BCN";6;"E";1;27.49;19.29;4.1
1983;2;19;"LLEIDA";193;"N";1;0.28;-2.81;1.54
1965;6;4;"TIBIDABO";186;"NE";4;7.95;-2.13;5.04
1963;2;13;"TARRACO";91;"O";6;34.75;-3.92;19.34
2002;2;19;"GIRONA";22;"SE";1;34.05;14.53;9.76
2001;10;1;"LLEIDA";150;"SO";4;40.89;19.29;10.8
2008;11;30;"LLEIDA";104;"N";4;30.46;-0.56;15.51
2018;2;4;"LLEIDA";177;"NO";2;30.46;17.11;6.68
2010;3;2;"HOSPI";147;"E";5;4.34;-1.0;2.67
2014;9;9;"STACOL";35;"SO";9;18.19;1.49;8.35
2013;2;9;"MASNOU";22;"SO";10;35.63;17.4;9.12
2011;11;18;"BCN";96;"SE";8;23.52;2.31;10.61
1977;1;8;"BERGA";119;"NE";3;9.71;-7.22;8.46
1968;3;1;"TARRACO";33;"SE";3;29.24;13.31;7.96
2004;7;11;"TIBIDABO";131;"S";7;-4.22;-7.65;1.72
1976;8;22;"VIC";34;"SE";0;33.57;14.69;9.44
2016;5;2;"HOSPI";60;"S";8;41.18;17.62;11.78
2006;10;11;"GIRONA";176;"NO";5;44.55;7.8;18.38
1999;7;1;"TIBIDABO";83;"SE";2;-0.64;-5.43;2.4
1989;1;16;"BERGA";128;"S";3;21.97;-7.0;14.48
1990;7;9;"VIC";109;"SE";1;22.86;4.15;9.36
2009;1;26;"LLEIDA";184;"NE";3;3.36;-7.37;5.37
1977;5;23;"STACOL";43;"NO";4;23.11;-9.45;16.28
1967;1;30;"BERGA";170;"N";5;34.09;8.77;12.66
1986;2;13;"GIRONA";31;"SO";0;-4.73;-6.77;1.02
2017;10;2;"BERGA";90;"SO";7;32.17;-5.39;18.78
1974;2;24;"GIRONA";64;"S";8;39.33;2.05;18.64
1980;3;20;"GIRONA";172;"SE";10;39.4;-9.41;24.41
2008;8;5;"MASNOU";18;"SO";2;13.19;5.59;3.8
1965;1;19;"TIBIDABO";114;"S";2;27.41;-6.44;16.93
1953;2;19;"TIBIDABO";144;"NE";7;15.54;-5.94;10.74
1958;11;15;"VIC";45;"S";4;38.37;-2.98;20.67
1951;9;26;"GIRONA";200;"E";3;31.07;3.79;13.64
1969;3;21;"GIRONA";195;"S";3;43.89;4.57;19.66
1994;1;21;"VIC";185;"N";4;19.62;7.54;6.04
1988;2;4;"VIC";120;"NO";2;4.91;3.18;0.86
1956;9;29;"LLEIDA";61;"SE";1;5.41;-5.44;5.43
1995;9;25;"BCN";58;"S";7;25.78;19.49;3.15
1964;8;29;"HOSPI";125;"NO";10;25.17;6.72;9.23
1966;9;9;"STACOL";17;"O";3;4.67;-2.69;3.68
1974;7;9;"VIC";62;"N";5;13.29;-3.53;8.41
1957;9;19;"VIC";197;"O";9;4.01;-6.1;5.05
2006;8;19;"GIRONA";81;"SE";7;17.64;0.07;8.79
